직업명,임금(만원)
도선사,13057 
기업고위임원,12203 
변호사,10100 
국회의원,8500 
항공기조종사,8276 
감정평가사,7740 
대학교 총장 및 학장,7486 
내과의사,7438 
금융관련관리자,7370 
토목감리기술자,7359 
시장 및 여론조사 사업운영관리자,7358 
한의사,7267 
세무사,7146 
치과의사,7100 
프로농구선수,7039 
안과의사,6913 
인문계열교수,6907 
자연계열교수,6862 
공학계열교수,6596 
산부인과의사,6467 
의약계열교수,6378 
피부과의사,6309 
회계사,6298 
외환딜러,6288 
사회계열교수,6269 
프로축구선수,6239 
예체능계열교수,6204 
교육계열교수,6154 
프로야구선수,6133 
경제학연구원,6119 
외과의사,6091 
비뇨기과의사,6065 
투자분석가(애널리스트),5929 
보험모집인,5917 
헬기조종사,5835 
행정부고위공무원,5818 
소아과의사,5783 
방송장비운영원,5640 
마취병리과의사,5629 
촬영기자,5565 
연극•영화 및 방송기술감독,5460 
중고등학교 교장 및 교감,5380 
경영컨설턴트,5341 
정보통신관련 관리자,5317 
판사,5315 
방사선과의사,5279 
정치학연구원,5268 
지적 및 측량기술자,5268 
성형외과의사,5260 
건설 및 광업관련 관리자,5211 
정신과의사,5211 
방송제작관리자,5179 
프로경륜선수,5178 
신용분석가,5152 
초등학교 교장 및 교감,5138 
금융자산운용가,5111 
투자인수심사원(투자언더라이터),5017 
이비인후과의사,5000 
지질학연구원,4998 
생물학연구원,4997 
재무 및 회계관리자,4976 
법학연구원,4943 
교육학연구원,4943 
장학사,4933 
화학연구원,4907 
전력전기공학기술자,4904 
스포츠에이전트,4904 
방송기자,4900 
발전설비공학기술자,4852 
약사 및 한약사,4834 
보험계리인,4827 
자동차조립 및 검사원,4804 
성우,4779 
담배제조관련 조작원,4771 
가정의학과의사,4735 
축산학연구원,4728 
항공기정비원,4728 
지리학연구원,4714 
작곡가,4714 
자연과학관련 시험원,4670 
손해사정인,4644 
아나운서,4637 
메카트로닉스공학기술자,4620 
평론가,4612 
관세사,4600 
헤드헌터,4594 
선물중개인,4586 
지방의회의원,4569 
증권중개인,4544 
방송연출가(프로듀서),4521 
언어학연구원,4513 
토목구조기술자,4504 
조선공학기술자,4500 
정보시스템감리사,4498 
프로경마기수,4497 
변리사,4485 
폐기물환경공학기술자,4476 
발전장치조작원,4466 
시스템컨설턴트,4442 
지휘자,4436 
토질 및 기초기술자,4432 
소음진동환경공학기술자,4420 
철학연구원,4410 
사회학연구원,4400 
산업공학기술자(엔지니어),4400 
실업교사,4400 
전기안전기술자,4396 
경찰관리자,4379 
검사,4378 
열관리(냉난방) 기계공학기술자,4376 
법무사,4368 
자동차공학기술자,4340 
금속공학기술자(엔지니어),4327 
응급구조사,4326 
자동차디자이너,4315 
미술관장,4311 
IT컨설턴트,4303 
분양 및 임대사무원,4300 
물리학연구원,4293 
프로바둑기사,4268 
상담전문가(심리상담사),4259 
금속가공관련 제어장치조작원,4243 
도서관장,4238 
도금 및 금속분무관련 조작원,4226 
철도운송사무원,4225 
무대디자이너,4224 
소방관리자,4217 
부동산투자신탁운용가,4190 
항공공학기술자,4185 
수산학연구원,4174 
방송장비설치 및 수리원,4159 
사회과학연구원,4110 
광고 및 홍보전문가,4100 
철도 및 지하철기관사,4093 
건설자재시험원(건설공사품질관리원),4079 
비행기승무원,4056 
프로골프선수,4027 
수학교사,4019 
인공위성개발원,4005 
광고제작감독,4004 
체육교사,4000 
공예원,3967 
건설기계공학기술자,3956 
홍보부서관리자,3952 
카피라이터,3950 
임상병리사,3948 
쇼핑호스트,3940 
건축설계기술자,3938 
국어교사,3936 
생명정보학자,3930 
사회교사,3916 
영화제작자,3915 
전기공사기술자,3914 
약학연구원,3913 
통신망설계운영기술자(엔지니어),3905 
시각디자이너,3900 
의약품화학공학기술자,3893 
특용작물재배자,3874 
해양공학기술자(엔지니어),3873 
영상•녹화 및 편집기사,3868 
